Date,DraftType,Overall,Pick,Player,Position,Last Pick,Draft length,league_id,Name,Lineup,Scoring,Teams,Copies,Decision?
2021-07-12,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,93254,Mock  966,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-12,SAME,1.0,1.01,"Lawrence, Trevor",QB,10.12,10.0,19041,Rudy Dynasty League III,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-07-12,SAME,1.0,1.01,"Lawrence, Trevor",QB,10.12,10.0,26122,Rudy Dynasty League II,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-07-12,SDRAFT,1.0,1.01,"McCaffrey, Christian",RB,16.18,16.0,51157,SOMD Guillotine League,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-2, ","QB_pTD: 10.0, RB_PPR: 3.0, WR_PPR: 3.0, TE_PPR: 3.0",18.0,1.0,
2021-07-12,SAME,1.0,1.01,"Lawrence, Trevor",QB,10.12,10.0,12138,Rudy Dynasty League I,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-07-12,SDRAFT,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,27277,Dr Roto-Mock Standard Snake ,"QB: 1, RB: 2-3, WR: 2-3, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",12.0,1.0,
2021-07-12,SDRAFT,1.0,1.01,"McCaffrey, Christian",RB,50.11,50.0,45471,"Criminals, Traders and Cheats","QB: 1, RB: 1-3, WR: 3-5, TE: 1-3, PK: 1, PN: 1, DE: 1-3, DT: 1-3, LB: 1-4, CB: 1-3, S: 1-3, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",32.0,2.0,
2021-07-12,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,21732,Masters Bronze Live Draft 140750,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-12,SAME,1.0,1.01,"Lawrence, Trevor",QB,10.12,10.0,51382,Rudy Dynasty League VI,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-07-12,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,91381,Mock  964,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-12,SAME,1.0,1.01,"Lawrence, Trevor",QB,10.12,10.0,38820,Rudy Dynasty League IV,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-07-12,3RDROUND,1.0,1.01,"Mahomes, Patrick",QB,26.12,26.0,50204,The Random Dudes Dynasty League,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-12,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,30.12,30.0,65203,The (Unofficial) NBC Sports Edge IDP Invitational,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, DT+DE: 2-4, LB: 2-4, CB+S: 2-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-11,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,29610,Masters Bronze Live Draft 140741,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-11,SFIRSTRANDOM,1.0,1.01,"Cook, Dalvin",RB,18.12,18.0,25406,Apex Amateur 355,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-11,SDRAFT,1.0,1.01,"McCaffrey, Christian",RB,28.12,28.0,56173,drd's trial league,,"QB_pTD: 4.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",,,
2021-07-10,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,98727,Mock  915,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-10,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,16.18,16.0,57209,RW Guillotine 2021,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",18.0,1.0,
2021-07-10,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,18.12,18.0,66591,Apex Veteran 005,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-10,SDRAFT,1.0,1.01,"Mahomes, Patrick",QB,22.12,22.0,54868,DataForce: COPPER 164,"QB: 1-2, RB: 1-4, WR: 2-5, TE: 1-4, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-10,SFIRSTRANDOM,1.0,1.01,"Garrett, Myles",DE,30.18,30.0,54064,xxxxxxx Johny The Greek IDP Only Eliminator,"DE: 1-4, DT: 1-4, LB: 1-5, CB: 1-4, S: 1-5, ","QB_pTD: 0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",18.0,1.0,
2021-07-10,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,98844,Mock  925,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-09,SFIRSTRANDOM,1.0,1.01,"Cook, Dalvin",RB,16.1,16.0,50986,THE BEST BALLS OF AGS 4.0,"QB: 2, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,1.0,
2021-07-09,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,36.12,36.0,69793,--Absolute Carnage--,"QB: 2, RB: 2-4, WR: 3-5, TE: 2-4, PK: 1-2, Def: 1-2, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.25, TE_PPR: 1.75",12.0,1.0,
2021-07-09,SAME,1.0,1.01,"McCaffrey, Christian",RB,21.01,21.0,32915,zzz Ride or Die,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-09,SFIRSTRANDOM,1.0,1.01,"Mahomes, Patrick",QB,21.12,21.0,64727,Apex Rookie Dynasty 290,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-09,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,22.12,22.0,25421,XX Best Ball Draft 1QB I,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-07-09,SDRAFT,1.0,1.01,"McCaffrey, Christian",RB,20.12,20.0,62870,Best Ball 5 ELIMINATION ,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",12.0,1.0,
2021-07-08,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,97372,Mock  862,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-08,SDRAFT,1.0,1.01,"McCaffrey, Christian",RB,40.12,40.0,36270,IDP Lockdown,"QB: 1-2, RB: 2-5, WR: 2-5, TE: 1-3, DE: 1-2, DT: 1-2, LB: 3-4, CB: 1-3, S: 1-3, ","QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",12.0,1.0,
2021-07-08,SDRAFT,1.0,1.01,"Barkley, Saquon",RB,15.12,15.0,34551,JMS Mock 2021,"QB: 1, RB: 1-2, WR: 2-3, TE: 1, PK: 1, Def: 1, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",12.0,1.0,
