Date,DraftType,Overall,Pick,Player,Position,league_id,Name,Lineup,Scoring,Teams,Copies,Decision?
2021-03-04,SAME,1,1.01,"Metcalf, DK",WR,58356,Dynasty Ballers Dispersal Draft,"QB: 1-2, RB: 1-7, WR: 2-8, TE: 1-7, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-03-11,SAME,1,1.01,"Peterson, Adrian",RB,71381,Devy Heroes,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 5.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-04-27,SAME,1,1.01,Rookie Pick 1,Pick,13198,Rogue 12: A Space Fantasy,"QB: 1, RB: 2-5, WR: 2-5, TE: 1-3, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-04-07,SAME,1,1.01,"Kamara, Alvin",RB,35160,THE GREAT 48 DYNASTY LEAGUE 2021 - DISPERSAL,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, Def: 1, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",44.0,4.0,
2021-04-26,SAME,1,1.01,Rookie Pick 1,Pick,24625,Billionaire Boys Club,"QB: 1, RB: 2-3, WR: 2-4, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-04-09,SAME,1,1.01,"Mahomes, Patrick",QB,28379,Good vs Evil Dispersal,"QB: 1-2, RB: 1-6, WR: 2-7, TE: 1-6, ","QB_pTD: 5.5, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",24.0,2.0,
2021-03-08,SAME,1,1.01,"Witten, Jason",TE,46355,Devy Dive Dynasty 3,"QB: 1-2, RB: 2-5, WR: 2-5, TE: 1-4, ","QB_pTD: 5.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-03-23,SAME,1,1.01,"Bray, Tyler",QB,37801,Fumblerooski IDP Dynasty,"QB: 1-2, RB: 2-6, WR: 3-7, TE: 1-4, DE: 2-3, DT: 1-2, LB: 3-4, CB: 2-3, S: 2-3, ","QB_pTD: 5.0, RB_PPR: 0.5, WR_PPR: 0.75, TE_PPR: 1.0",12.0,1.0,
2021-02-22,SAME,1,1.01,"White, Mike",QB,11709,World Dynasty Wrestling,"QB: 1-2, RB: 1-6, WR: 1-6, TE: 1-6, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-02-12,SAME,1,1.01,"Allen, Josh",QB,61468,League of Lushes 2021 Dispersal,"QB: 1-2, RB: 1-7, WR: 1-7, TE: 1-7, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",24.0,2.0,
2021-03-03,SAME,1,1.01,Rookie Pick 1,Pick,58445,No Brew Left Behind,"QB: 1-2, RB: 2-6, WR: 3-7, TE: 1-5, DT+DE: 3-4, LB: 3-4, CB+S: 3-4, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",14.0,1.0,
2021-03-14,SAME,1,1.01,Rookie Pick 1,Pick,46553,Gods of Dynasty,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",14.0,1.0,
2021-04-09,SAME,1,1.01,Rookie Pick 1,Pick,58008,The Fantasy League of Extraordinary Gentleman,"QB: 2, RB: 2-5, WR: 2-5, TE: 1-2, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-04-27,SAME,1,1.01,Rookie Pick 1,Pick,53551,Uline Dynasty,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,1.0,
2021-03-14,SAME,1,1.01,Rookie Pick 1,Pick,45148,A Dynasty Far Far Away,"QB: 0-2, RB: 0-8, WR: 0-8, TE: 0-8, ","QB_pTD: 5.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",24.0,2.0,
2021-04-27,SAME,1,1.01,Rookie Pick 1,Pick,36733,To Be Deleted,"QB: 1, RB: 1-2, WR: 3-4, TE: 1, PK: 1, DT+DE: 3-4, LB: 3-4, CB+S: 4, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",12.0,1.0,
2021-03-05,SAME,1,1.01,Rookie Pick 1,Pick,55087,Marvel dynasty,"QB: 0-2, RB+WR+TE: 0-9, ","QB_pTD: 5.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",14.0,1.0,
2021-04-20,SAME,1,1.01,"Hurts, Jalen",QB,17216,The Dypsomaniacals,"QB: 1, RB: 3, WR+TE: 4, PK: 1, DT+DE: 1-2, LB: 1-2, CB+S: 1-2, ","QB_pTD: 3.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",8.0,1.0,
2021-03-08,SAME,1,1.01,"Kaepernick, Colin",QB,52798,Devy Dive Dynasty 2,"QB: 1-2, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 5.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-04-27,SAME,1,1.01,Rookie Pick 1,Pick,62142,D26 Superflex Auction (year 5),"QB: 0-2, RB: 2-6, WR: 3-7, TE: 1-5, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",26.0,2.0,
2021-03-22,SAME,1,1.01,Rookie Pick 1,Pick,40742,Signing Day FFL,"QB: 1-2, RB: 1-3, WR: 2-5, TE: 1-3, DE: 1-2, DT: 1-2, LB: 2-4, CB+S: 2-4, ","QB_pTD: 5.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-03-25,SAME,1,1.01,"Webb, Joe",QB,41986,Ultimate Devy Dynasty 3,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 5.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-04-06,SAME,1,1.01,Rookie Pick 1,Pick,73839,Home of The Brave,"QB: 1, RB: 1-4, WR: 2-5, TE: 1-4, PK: 1, DE: 1-4, DT: 1-3, LB: 2-5, CB: 1-3, S: 1-4, ","QB_pTD: 5.0, RB_PPR: 1.0, WR_PPR: 1.25, TE_PPR: 1.5",12.0,1.0,
2021-03-17,SAME,1,1.01,"Whyte, Kerrith",RB,24414,DDFL DEVY DORKS,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
