Division,ERA,GP,HR,IP,K,Moves,OBP,R,RBI,Rank,SB,SV,Team,Unnamed: 0,W,WHIP,Sum
Oil Can Boyd,107.0,1430.0,164.5,1037.0,75.5,126,178.0,179.0,145.0,46.0,26.5,100.5,Team Pedro Martinez,,108.0,47.0,1131.0
Oil Can Boyd,68.0,1415.0,49.5,1306.0,174.0,59,16.0,36.5,98.0,125.0,50.0,10.0,Uncle Tom's  Glavine,,163.0,81.0,746.0
Oil Can Boyd,60.0,1375.0,125.0,1047.3333333333333,58.0,7,154.0,66.0,135.5,94.0,47.5,19.5,Team Robins,,148.0,65.0,878.5
Oil Can Boyd,37.0,1381.0,148.0,908.0,23.0,34,85.0,119.5,96.0,106.0,162.0,68.0,Ellen's Degenerates,,19.5,102.0,860.0
Oil Can Boyd,180.0,1447.0,145.0,966.3333333333335,139.5,39,174.0,125.0,76.0,6.0,67.5,158.0,UNC Tar Heels,,127.5,180.0,1372.5
Oil Can Boyd,18.0,1469.0,117.5,1354.3333333333333,180.0,61,91.0,90.5,139.0,92.0,58.0,32.5,The Ringers,,127.5,30.0,884.0
Hank Aaron,156.0,1413.0,142.0,1079.3333333333333,129.0,105,66.0,90.5,86.5,52.0,33.5,100.5,Team Vlad Guerrero,,148.0,139.0,1091.0
Hank Aaron,146.0,1485.0,102.5,1120.3333333333333,137.0,65,57.0,109.0,163.0,22.0,164.5,77.5,Team Special Sauce,,163.0,162.0,1281.5
Hank Aaron,169.0,1513.0,115.0,1096.6666666666667,164.0,127,28.0,143.0,142.0,7.0,134.0,163.0,DocEllis Brigade,,142.0,163.0,1363.0
Hank Aaron,131.0,1268.0,32.0,952.0,47.0,9,83.0,30.0,12.0,145.0,22.5,9.0,Team Ly 2,,114.0,146.0,626.5
Hank Aaron,35.0,1482.0,164.5,1004.6666666666665,85.0,53,36.0,110.0,156.5,96.0,78.5,164.5,Trout  Sniffers,,19.5,26.0,875.5
