Division,ERA,GP,HR,IP,K,Moves,OBP,R,RBI,Rank,SB,SV,Team,Unnamed: 0,W,WHIP
Roberto Clemente,4.12184874,1463.0,229.0,1428.0,1363.0,127,0.32733447,766.0,715.0,0,93.0,54.0,CONTI LEWIS MLB,,99.0,1.28571429
Roberto Clemente,3.61684958,1387.0,209.0,1032.6666666666667,1115.0,30,0.34964655,737.0,636.0,0,89.0,27.0,Copper Fox Tavern III,,75.0,1.18721756
Roberto Clemente,4.148848399999999,1331.0,179.0,969.6666666666665,941.0,20,0.32953484,668.0,635.0,0,71.0,35.0,Coocoo for CoCo,,57.0,1.22000688
Roberto Clemente,4.10251716,1400.0,201.0,728.3333333333335,667.0,7,0.33052039,707.0,789.0,0,55.0,10.0,Team St Maurice 5,,45.0,1.23295195
Roberto Clemente,3.75496689,1409.0,192.0,1359.0,1428.0,42,0.33169447,721.0,705.0,0,78.0,27.0,Stars and Stripes,,94.0,1.14422369
Roberto Clemente,4.07427678,1329.0,222.0,852.6666666666665,886.0,32,0.34518828,729.0,723.0,0,76.0,78.0,The Cajuns,,61.0,1.25605942
Roberto Clemente,3.32994278,1488.0,234.0,1048.6666666666667,1191.0,28,0.32468812,781.0,759.0,0,98.0,38.0,80 Grade Aces,,73.0,1.11760966
Rollie Fingers,3.78349515,1431.0,280.0,1030.0,1048.0,41,0.34238587,852.0,827.0,0,55.0,71.0,Team Denicola,,79.0,1.17961165
Rollie Fingers,3.83961039,1413.0,274.0,1026.6666666666667,1112.0,56,0.33839779,856.0,779.0,0,93.0,78.0,Three Bagger Nights,,59.0,1.15909091
Rollie Fingers,3.86674969,1410.0,181.0,1070.6666666666667,1214.0,7,0.32458319,683.0,727.0,0,81.0,26.0,Team Rhodes,,67.0,1.20579078
Rollie Fingers,3.98737772,1416.0,195.0,1056.3333333333333,1038.0,34,0.32477876,681.0,709.0,0,100.0,46.0,Kaz Matsui,,63.0,1.2221521
Rollie Fingers,3.80953969,1430.0,183.0,999.3333333333335,1113.0,31,0.34795474,771.0,657.0,0,82.0,26.0,Copper Fox Tavern IV,,68.0,1.20680454
Rollie Fingers,3.8586127999999995,1326.0,174.0,874.6666666666665,845.0,8,0.32309179,590.0,622.0,0,71.0,18.0,Chaw Dawgs,,62.0,1.21989329
Rollie Fingers,4.00800739,1445.0,199.0,1082.3333333333333,1017.0,77,0.34189964,741.0,727.0,0,84.0,59.0,WV Menopaws,,68.0,1.19186942
Rollie Fingers,3.52851324,1487.0,232.0,982.0,1080.0,63,0.32292337,830.0,742.0,0,88.0,38.0,Team Bucs,,66.0,1.16904277
Rollie Fingers,3.40479193,1495.0,244.0,1057.3333333333333,1157.0,148,0.31659853,753.0,794.0,0,97.0,54.0,Cheesin' Like Cheddar,,78.0,1.09331652
Rollie Fingers,3.79746835,1391.0,208.0,948.0,1056.0,53,0.33453302,727.0,714.0,0,41.0,76.0,EI Maeda Mistake (75R),,63.0,1.24050633
Rollie Fingers,3.44848879,1428.0,187.0,1025.6666666666667,1089.0,29,0.34226699,805.0,673.0,0,93.0,40.0,Team Perera,,79.0,1.15632109
Rollie Fingers,3.34903846,1427.0,194.0,1040.0,1161.0,107,0.32854389,691.0,665.0,0,67.0,94.0,"Acuna, Maeda Oh I Wanna Take Ya",,74.0,1.21153846
Oil Can Boyd,3.58883474,1476.0,212.0,752.3333333333335,824.0,59,0.3291625,781.0,737.0,0,100.0,46.0,Team 1,,53.0,1.1590607
Oil Can Boyd,3.97984252,1462.0,207.0,1058.3333333333333,1106.0,155,0.34058942,807.0,754.0,0,98.0,70.0,Let the boy watch,,77.0,1.1896063000000001
Oil Can Boyd,3.75551471,1459.0,204.0,1088.0,1154.0,65,0.32776757,747.0,724.0,0,81.0,30.0,Slow Roar,,71.0,1.23253676
Oil Can Boyd,3.27786967,1401.0,194.0,1007.6666666666665,1147.0,62,0.31798942,749.0,659.0,0,128.0,89.0,The Till Hammer,,76.0,1.07674496
Oil Can Boyd,3.52864664,1413.0,185.0,1076.3333333333333,1172.0,19,0.31649466,652.0,702.0,0,75.0,40.0,Luckydogs  coyle,,68.0,1.16227934
Oil Can Boyd,4.0354251,1340.0,182.0,988.0,983.0,36,0.33603468,679.0,618.0,0,59.0,95.0,Acuna  Matata,,72.0,1.26417004
Oil Can Boyd,3.67116683,1430.0,247.0,1037.0,1068.0,126,0.35306908,872.0,765.0,0,61.0,52.0,Team Pedro Martinez,,70.0,1.2295082
Oil Can Boyd,3.85222052,1415.0,191.0,1306.0,1305.0,59,0.32110727,691.0,721.0,0,68.0,15.0,Uncle Tom's  Glavine,,79.0,1.20520674
Oil Can Boyd,3.86696372,1375.0,224.0,1047.3333333333333,1033.0,7,0.34211476,722.0,754.0,0,67.0,24.0,Team Robins,,77.0,1.21833227
Oil Can Boyd,4.03414097,1381.0,237.0,908.0,890.0,34,0.33303282,774.0,718.0,0,103.0,44.0,Ellen's Degenerates,,56.0,1.18612335
